datetime,price,quantity,venue
2020-07-01 05:10:36:489,364,60,ARCX
2020-07-01 05:10:36:489,364,100,ARCX
2020-07-01 05:10:36:489,364,140,ARCX
2020-07-01 05:11:03:375,363.91,1,XNGS
2020-07-01 05:11:22:060,364,100,ARCX
2020-07-01 05:11:22:060,363.91,1,XNGS
2020-07-01 05:11:23:620,363.97,1,ARCX
2020-07-01 05:11:23:620,364,95,ARCX
2020-07-01 05:11:44:431,364.08,1,ARCX
2020-07-01 05:11:58:295,364.11,1,XNGS
2020-07-01 05:13:25:200,364.14,3,XNGS
2020-07-01 05:13:27:443,364.14,10,XNGS
2020-07-01 05:13:59:798,364.11,3,ARCX
2020-07-01 05:14:21:122,364.14,12,XNGS
2020-07-01 05:14:30:385,364.2,87,XNGS
2020-07-01 05:16:44:354,364.21,1,XNGS
2020-07-01 05:19:44:906,364.31,1,XNGS
2020-07-01 05:19:44:906,364.4,19,XNGS
2020-07-01 05:20:13:262,364.38,24,XNGS
2020-07-01 05:20:13:262,364.38,1,XNGS
2020-07-01 05:20:13:262,364.4,75,XNGS
2020-07-01 05:20:43:668,364.4,6,XNGS
2020-07-01 05:20:43:668,364.4,94,XNGS
2020-07-01 05:22:29:133,364.41,1,XNGS
2020-07-01 05:22:29:133,364.49,36,XNGS
2020-07-01 05:28:04:730,364.49,44,XNGS
2020-07-01 05:28:04:730,364.5,59,XNGS
2020-07-01 05:28:39:434,364.51,1,XNGS
2020-07-01 05:30:15:753,364.61,1,XNGS
2020-07-01 05:30:23:612,364.51,1,XNGS
2020-07-01 05:31:05:702,364.61,1,XNGS
2020-07-01 05:31:05:702,364.7,49,XNGS
2020-07-01 05:31:16:406,364.7,1,XNGS
2020-07-01 05:33:44:638,364.26,20,ARCX
2020-07-01 05:33:44:638,364.17,45,ARCX
2020-07-01 05:33:52:955,364.51,1,XNGS
2020-07-01 05:34:38:743,364.41,1,XNGS
2020-07-01 05:35:12:427,364.31,1,XNGS
2020-07-01 05:35:37:397,364.22,50,ARCX
2020-07-01 05:35:37:397,364.1,25,ARCX
2020-07-01 05:35:37:397,364.08,21,ARCX
2020-07-01 05:35:47:605,364.21,1,XNGS
2020-07-01 05:39:02:341,364.2,1,XNGS
2020-07-01 05:39:54:586,364.31,1,XNGS
2020-07-01 05:39:54:586,364.37,2,XNGS
2020-07-01 05:41:22:603,364.21,1,XNGS
2020-07-01 05:41:45:472,364.08,78,ARCX
2020-07-01 05:41:45:472,364.08,22,ARCX
2020-07-01 05:41:47:034,364.08,8,ARCX
2020-07-01 05:41:47:499,364.18,4,XNGS
2020-07-01 05:42:32:950,364.11,1,XNGS
2020-07-01 05:42:37:602,364.08,20,ARCX
2020-07-01 05:44:55:936,364.05,25,XNGS
2020-07-01 05:45:21:773,364.1,11,XNGS
2020-07-01 05:45:21:774,364.1,19,XNGS
2020-07-01 05:45:21:774,364.01,80,XNGS
2020-07-01 05:45:21:774,364.01,1,XNGS
2020-07-01 05:45:21:774,364,5,XNGS
2020-07-01 05:45:21:774,364,9,XNGS
2020-07-01 05:45:23:784,364,91,XNGS
2020-07-01 05:45:23:784,364,79,XNGS
2020-07-01 05:45:23:784,364,1,XNGS
2020-07-01 05:47:57:851,364.11,1,XNGS
2020-07-01 05:49:01:362,364.1,5,XNGS
2020-07-01 05:49:13:359,364.08,1,XNGS
2020-07-01 05:49:13:411,364.08,20,XNGS
2020-07-01 05:53:07:136,363.75,75,ARCX
2020-07-01 05:53:18:601,364.01,1,XNGS
2020-07-01 05:53:18:601,364,5,XNGS
2020-07-01 05:53:18:601,364,10,XNGS
2020-07-01 05:53:52:772,363.91,1,XNGS
2020-07-01 05:54:59:657,363.85,5,XNGS
2020-07-01 05:55:20:607,363.85,9,XNGS
2020-07-01 05:55:33:877,364,2,XNGS
2020-07-01 05:55:38:558,364,11,XNGS
2020-07-01 05:55:44:336,364,12,XNGS
2020-07-01 05:55:48:324,363.99,2,XNGS
2020-07-01 05:57:14:647,363.99,20,XNGS
2020-07-01 05:58:47:345,363.8,11,ARCX
2020-07-01 06:00:24:891,363.75,25,ARCX
2020-07-01 06:00:24:891,363.75,21,ARCX
2020-07-01 06:00:25:973,363.75,8,ARCX
2020-07-01 06:01:03:312,363.81,1,XNGS
2020-07-01 06:01:03:313,363.75,2,ARCX
2020-07-01 06:06:44:468,363.95,70,ARCX
2020-07-01 06:07:36:107,363.91,1,XNGS
2020-07-01 06:07:36:107,363.99,3,XNGS
2020-07-01 06:07:36:107,364,1,XNGS
2020-07-01 06:08:11:206,364,20,XNGS
2020-07-01 06:08:11:950,364,20,XNGS
2020-07-01 06:08:57:693,364,20,XNGS
2020-07-01 06:09:25:394,364,28,XNGS
2020-07-01 06:09:25:394,364,50,XNGS
2020-07-01 06:09:25:394,364.01,1,XNGS
2020-07-01 06:09:51:653,364.13,5,ARCX
2020-07-01 06:11:12:066,363.91,1,XNGS
2020-07-01 06:11:19:619,364.01,1,XNGS
2020-07-01 06:11:53:971,364.13,95,ARCX
2020-07-01 06:11:53:971,364.13,100,ARCX
2020-07-01 06:11:53:971,364.13,106,ARCX
2020-07-01 06:12:02:810,364.12,5,ARCX
2020-07-01 06:12:23:474,364.12,15,ARCX
2020-07-01 06:12:23:474,364.13,40,ARCX
2020-07-01 06:14:00:986,363.91,1,XNGS
2020-07-01 06:14:00:998,363.81,20,ARCX
2020-07-01 06:14:00:998,363.75,56,ARCX
2020-07-01 06:14:20:441,364.01,1,XNGS
2020-07-01 06:15:29:753,363.91,1,XNGS
2020-07-01 06:18:54:668,364.04,19,ARCX
2020-07-01 06:18:54:668,364.09,81,ARCX
2020-07-01 06:18:54:668,363.97,19,XNGS
2020-07-01 06:18:54:668,364.01,1,XNGS
2020-07-01 06:19:16:783,364.03,1,ARCX
2020-07-01 06:19:16:783,364.05,19,ARCX
2020-07-01 06:19:37:321,364.1,20,XNGS
2020-07-01 06:20:00:110,364.11,1,XNGS
2020-07-01 06:20:00:110,364.18,1,XNGS
2020-07-01 06:20:00:110,364.2,3,XNGS
2020-07-01 06:20:00:202,364.28,50,XNGS
2020-07-01 06:20:44:686,364.14,31,ARCX
2020-07-01 06:21:34:797,364.13,30,XNGS
2020-07-01 06:21:52:082,364.13,20,XNGS
2020-07-01 06:21:52:082,364.1,480,XNGS
2020-07-01 06:22:37:840,364.01,1,XNGS
2020-07-01 06:22:37:840,363.82,19,XNGS
2020-07-01 06:22:37:840,363.8,80,XNGS
2020-07-01 06:24:07:922,364.11,1,XNGS
2020-07-01 06:24:25:627,364.01,1,XNGS
2020-07-01 06:25:52:497,363.84,50,ARCX
2020-07-01 06:25:52:497,363.8,150,ARCX
2020-07-01 06:25:52:497,363.91,1,XNGS
2020-07-01 06:25:52:596,363.84,1,ARCX
2020-07-01 06:25:52:596,363.8,4,ARCX
2020-07-01 06:26:28:416,363.8,146,ARCX
2020-07-01 06:26:28:417,363.81,1,XNGS
2020-07-01 06:26:28:417,363.8,6,XNGS
2020-07-01 06:26:33:773,363.75,13,ARCX
2020-07-01 06:26:33:773,363.75,67,ARCX
2020-07-01 06:26:36:362,363.8,20,XNGS
2020-07-01 06:27:06:676,363.8,20,XNGS
2020-07-01 06:27:13:059,363.8,7,XNGS
2020-07-01 06:32:33:730,363.89,500,ARCX
2020-07-01 06:33:12:262,363.91,1,XNGS
2020-07-01 06:33:12:262,363.99,299,XNGS
2020-07-01 06:36:07:352,363.81,1,XNGS
2020-07-01 06:36:07:353,363.76,50,ARCX
2020-07-01 06:36:07:353,363.75,33,ARCX
2020-07-01 06:36:07:353,363.75,16,ARCX
2020-07-01 06:36:07:353,363.75,1,XNGS
2020-07-01 06:36:07:353,363.75,49,ARCX
2020-07-01 06:36:07:407,363.75,64,XNGS
2020-07-01 06:36:07:407,363.75,1,XNGS
2020-07-01 06:36:07:408,363.75,9,ARCX
2020-07-01 06:36:14:694,363.75,50,XNGS
2020-07-01 06:36:17:074,363.75,100,XNGS
2020-07-01 06:36:19:045,363.75,10,XNGS
2020-07-01 06:36:20:694,363.75,50,XNGS
2020-07-01 06:36:27:841,363.75,26,ARCX
2020-07-01 06:36:27:841,363.75,100,ARCX
2020-07-01 06:36:27:841,363.75,224,XNGS
2020-07-01 06:36:31:673,363.71,1,XNGS
2020-07-01 06:36:35:973,363.5,100,ARCX
2020-07-01 06:36:35:973,363.5,100,ARCX
2020-07-01 06:36:36:940,363.5,100,ARCX
2020-07-01 06:36:42:312,363.5,10,ARCX
2020-07-01 06:36:45:974,363.61,1,XNGS
2020-07-01 06:36:45:974,363.51,100,ARCX
2020-07-01 06:36:45:974,363.5,49,ARCX
2020-07-01 06:36:50:041,363.5,41,ARCX
2020-07-01 06:36:50:041,363.5,59,ARCX
2020-07-01 06:36:51:040,363.5,41,ARCX
2020-07-01 06:36:58:239,363.51,1,XNGS
2020-07-01 06:37:45:990,363.41,1,XNGS
2020-07-01 06:37:45:990,363.42,50,ARCX
2020-07-01 06:37:45:990,363.41,50,ARCX
2020-07-01 06:38:42:061,363.43,1,ARCX
2020-07-01 06:38:42:061,363.42,9,ARCX
2020-07-01 06:39:16:480,363.51,100,ARCX
2020-07-01 06:39:17:844,363.51,10,ARCX
2020-07-01 06:39:17:844,363.51,23,ARCX
2020-07-01 06:39:33:785,363.51,20,ARCX
2020-07-01 06:40:56:446,363.38,20,ARCX
2020-07-01 06:40:59:584,363.38,50,ARCX
2020-07-01 06:41:00:692,363.38,30,ARCX
2020-07-01 06:41:00:692,363.38,100,ARCX
2020-07-01 06:41:00:692,363.38,20,ARCX
2020-07-01 06:41:01:209,363.38,100,ARCX
2020-07-01 06:41:01:209,363.38,300,ARCX
2020-07-01 06:41:01:325,363.38,20,ARCX
2020-07-01 06:41:13:989,363.37,20,ARCX
2020-07-01 06:41:13:989,363.38,80,ARCX
2020-07-01 06:41:21:693,363.31,1,XNGS
2020-07-01 06:41:41:446,363.11,1,ARCX
